cup,liquid,0.59
deployment,withdrawal,0.588
tiger,zoo,0.587
journey,car,0.585
precedent,example,0.585
smart,stupid,0.581
plane,car,0.577
planet,people,0.575
lobster,wine,0.57
money,laundering,0.565
Mars,scientist,0.563
decoration,valor,0.563
OPEC,country,0.563
summer,nature,0.563
tiger,fauna,0.562
psychology,discipline,0.558
glass,metal,0.556
alcohol,chemistry,0.554
disability,death,0.547
change,attitude,0.544
arrangement,accommodation,0.541
territory,surface,0.534
credit,information,0.531
size,prominence,0.531
exhibit,memorabilia,0.531
territory,kilometer,0.528
death,row,0.525
man,governor,0.525
doctor,liability,0.519
impartiality,interest,0.516
energy,laboratory,0.509
secretary,senate,0.506
death,inmate,0.503
monk,oracle,0.5
cup,food,0.5
doctor,personnel,0.5
travel,activity,0.5
journal,association,0.497
car,flight,0.494
street,children,0.494
space,chemistry,0.488
situation,conclusion,0.481
tiger,organism,0.477
peace,plan,0.475
word,similarity,0.475
consumer,energy,0.475
ministry,culture,0.469
hospital,infrastructure,0.463
smart,student,0.462
investigation,effort,0.459
image,surface,0.456
life,term,0.45
computer,news,0.447
board,recommendation,0.447
start,match,0.447
lad,brother,0.446
food,rooster,0.442
coast,hill,0.438
observation,architecture,0.438
attempt,peace,0.425
deployment,departure,0.425
benchmark,index,0.425
consumer,confidence,0.413
start,year,0.406
focus,life,0.406
development,issue,0.397
day,summer,0.394
theater,history,0.391
situation,isolation,0.388
media,trading,0.388
profit,warning,0.388
chance,credibility,0.388
precedent,information,0.385
architecture,century,0.378
population,development,0.375
stock,live,0.373
cup,object,0.369
atmosphere,landscape,0.369
minority,peace,0.369
peace,atmosphere,0.369
morality,marriage,0.369
report,gain,0.363
music,project,0.363
seven,series,0.356
experience,music,0.347
school,center,0.344
announcement,production,0.338
five,month,0.338
money,operation,0.331
delay,news,0.331
morality,importance,0.331
governor,interview,0.325
practice,institution,0.319
century,nation,0.316
coast,forest,0.315
shore,woodland,0.308
drink,car,0.304
president,medal,0.3
prejudice,recognition,0.3
viewer,serial,0.297
Mars,water,0.294
peace,insurance,0.294
cup,artifact,0.292
media,gain,0.288
precedent,cognition,0.281
announcement,effort,0.275
crane,implement,0.269
line,insurance,0.269
drink,mother,0.265
opera,industry,0.263
volunteer,motto,0.256
listing,proximity,0.256
Arafat,Jackson,0.25
precedent,collection,0.25
cup,article,0.24
sign,recess,0.238
problem,airport,0.238
reason,hypertension,0.231
direction,combination,0.225
Wednesday,news,0.222
cup,entity,0.215
cemetery,woodland,0.208
glass,magician,0.208
possibility,girl,0.194
cup,substance,0.192
forest,graveyard,0.185
stock,egg,0.181
energy,secretary,0.181
month,hotel,0.181
precedent,group,0.177
production,hike,0.175
stock,phone,0.162
holy,sex,0.162
stock,CD,0.131
drink,ear,0.131
delay,racism,0.119
stock,jaguar,0.092
stock,life,0.092
monk,slave,0.092
lad,wizard,0.092
sugar,approach,0.088
rooster,voyage,0.062
chord,smile,0.054
noon,string,0.054
professor,cucumber,0.031
king,cabbage,0.023
